Method,Success,Execution Time
Simulated Annealing,True,0.0010690689086914062
Simulated Annealing,True,0.0011539459228515625
Simulated Annealing,True,0.0010633468627929688
Simulated Annealing,True,0.0010669231414794922
Simulated Annealing,True,0.0010502338409423828
Simulated Annealing,True,0.0011861324310302734
Simulated Annealing,True,0.0011489391326904297
Simulated Annealing,True,0.0011491775512695312
Simulated Annealing,True,0.001050710678100586
Simulated Annealing,True,0.0010449886322021484
